Price,Close,High,Low,Open,Volume
Ticker,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA
Date,,,,,
2022-12-22,8.758511543273926,9.129064418076332,8.682717403708242,8.985896371423232,1497081
2022-12-25,8.345849990844727,8.809040622276255,8.244790348138864,8.758510399348,1100231
2022-12-26,8.354272842407227,8.581656865303305,8.295321577795418,8.345851003705327,989954
2022-12-27,8.270055770874023,8.505862427330626,8.008985205501611,8.354272548630055,1187064
2022-12-28,8.421645164489746,8.497440099474261,8.261634259750736,8.270055294520716,1549611
2022-12-29,8.758511543273926,8.825884647210591,8.421646023590602,8.421646023590602,932685
2023-01-02,8.85957145690918,8.977473979964552,8.800619392230791,8.758511004075,886399
2023-01-03,8.851150512695312,8.960632011698724,8.775355566989044,8.859572351807294,1043206
2023-01-04,9.13748550415039,9.33960479931069,8.093200872854142,8.85114943443129,2839231
2023-01-05,9.086956024169922,9.373292117376602,9.086956024169922,9.137486253680233,1686115
2023-01-09,9.221702575683594,9.305919360289238,9.095378201925909,9.086956362835188,2310932
2023-01-10,8.699560165405273,9.246966828586144,8.438489591820824,9.221702115724915,1767352
2023-01-11,8.50586223602295,9.137485645535028,8.371115234013786,8.699559696094319,2360182
2023-01-12,8.430068016052246,8.918523430073083,8.295321805722466,8.50586296015044,1039045
2023-01-15,8.371115684509277,8.5479702808162,8.337429132981804,8.430067752045412,518989
2023-01-16,8.590078353881836,8.674295131166748,8.371115375461635,8.371115375461635,762986
2023-01-17,8.489018440246582,8.758510834174826,8.42164534176452,8.590078087969674,3085504
2023-01-18,8.766932487487793,8.800619036018796,8.50586193716019,8.489018261319353,3416090
2023-01-19,8.716403007507324,8.969051718211345,8.556391300700735,8.766932428387863,2190439
2023-01-22,8.758511543273926,8.842728324770132,8.69113843933726,8.716403955676574,1192767
2023-01-23,8.758511543273926,8.825884647210591,8.682717403708242,8.758511543273926,1129272
2023-01-24,8.994318962097168,9.011161837913965,8.674296290069838,8.75851227545546,2064849
2023-01-25,9.575411796569824,9.870169739864593,8.96905303493101,8.994318552231096,7148331
2023-01-29,9.802796363830566,9.853325790739833,9.516460267508856,9.575411533286587,2566300
2023-01-30,9.642784118652344,10.190191568362303,9.642784118652344,9.802795835933223,3956854
2023-01-31,9.339605331420898,9.844903598110267,9.095377635066686,9.64278429143452,2354269
2023-02-01,9.853324890136719,9.853324890136719,8.94378725739491,9.339604813376283,6293918
2023-02-02,9.011160850524902,9.912277497782904,8.985896137992654,9.853325431006683,3539089
2023-02-05,8.766932487487793,9.171171873010493,8.46375355070877,9.01116016512523,1844106
